"country","hdi2019","pop2022"
"Norway","0.9570","5511.3700"
"Ireland","0.9550","5020.1990"
"Switzerland","0.9550","8773.6370"
"Iceland","0.9490","345.3930"
"Hong Kong","0.9490","7604.2990"
"Germany","0.9470","83883.5960"
"Sweden","0.9450","10218.9710"
"Netherlands","0.9440","17211.4470"
"Australia","0.9440","26068.7920"
"Denmark","0.9400","5834.9500"
"Finland","0.9380","5554.9600"
"Singapore","0.9380","5943.5460"
"United Kingdom","0.9320","68497.9070"
"New Zealand","0.9310","4898.2030"
"Belgium","0.9310","11668.2780"
"Canada","0.9290","38388.4190"
"United States","0.9260","334805.2690"
"Austria","0.9220","9066.7100"
"Liechtenstein","0.9190","38.3870"
"Israel","0.9190","8922.8920"
"Japan","0.9190","125584.8380"
"Slovenia","0.9170","2078.0340"
"Luxembourg","0.9160","642.3710"
"South Korea","0.9160","51329.8990"
"Spain","0.9040","46719.1420"
"France","0.9010","65584.5180"
"Malta","0.8950","444.0330"
"Estonia","0.8920","1321.9100"
"Italy","0.8920","60262.7700"
"United Arab Emirates","0.8900","10081.7850"
"Greece","0.8880","10316.6370"
"Cyprus","0.8870","1223.3870"
"Lithuania","0.8820","2661.7080"
"Poland","0.8800","37739.7850"
"Andorra","0.8680","77.4630"
"Latvia","0.8660","1848.8370"
"Portugal","0.8640","10140.5700"
"Slovakia","0.8600","5460.1930"
"Hungary","0.8540","9606.2590"
"Saudi Arabia","0.8540","35844.9090"
"Bahrain","0.8520","1783.9830"
"Croatia","0.8510","4059.2860"
"Chile","0.8510","19250.1950"
"Qatar","0.8480","2979.9150"
"Argentina","0.8450","46010.2340"
"Montenegro","0.8290","627.9500"
"Romania","0.8280","19031.3350"
"Palau","0.8260","18.2330"
"Kazakhstan","0.8250","19205.0430"
"Russia","0.8240","145805.9470"
"Belarus","0.8230","9432.8000"
"Turkey","0.8200","85561.9760"
"Uruguay","0.8170","3496.0160"
"Bulgaria","0.8160","6844.5970"
"Panama","0.8150","4446.9640"
"Barbados","0.8140","288.0230"
"Bahamas","0.8140","400.5160"
"Oman","0.8130","5323.9930"
"Georgia","0.8120","3968.7380"
"Costa Rica","0.8100","5182.3540"
"Malaysia","0.8100","33181.0720"
"Kuwait","0.8060","4380.3260"
"Serbia","0.8060","8653.0160"
"Mauritius","0.8040","1274.7270"
"Seychelles","0.7960","99.4260"
"Trinidad and Tobago","0.7960","1406.5850"
"Albania","0.7950","2866.3740"
"Cuba","0.7830","11305.6520"
"Iran","0.7830","86022.8370"
"Sri Lanka","0.7820","21575.8420"
"Bosnia and Herzegovina","0.7800","3249.3170"
"Saint Kitts and Nevis","0.7790","53.8710"
"Grenada","0.7790","113.4750"
"Ukraine","0.7790","43192.1220"
"Mexico","0.7790","131562.7720"
