This file was created using the 202112 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RMW,CMA,RF
198907    ,0.60   ,-0.39   ,15.53  ,-99.99  ,-99.99    ,0.70
198908    ,1.63    ,8.78   ,-3.73  ,-99.99  ,-99.99    ,0.74
198909   ,14.41    ,3.32   ,-7.70  ,-99.99  ,-99.99    ,0.65
198910   ,-2.18   ,-0.49   ,-4.36  ,-99.99  ,-99.99    ,0.68
198911    ,0.72    ,0.43    ,2.22  ,-99.99  ,-99.99    ,0.69
198912    ,6.93    ,2.69   ,10.71  ,-99.99  ,-99.99    ,0.61
199001    ,1.02    ,8.24   ,12.96  ,-99.99  ,-99.99    ,0.57
199002    ,3.76    ,5.35    ,2.64  ,-99.99  ,-99.99    ,0.57
199003   ,-5.07   ,-1.87    ,2.88  ,-99.99  ,-99.99    ,0.64
199004   ,-1.12    ,1.76   ,-7.17  ,-99.99  ,-99.99    ,0.69
199005    ,8.13   ,-1.96    ,5.03  ,-99.99  ,-99.99    ,0.68
199006    ,3.65    ,5.64  ,-14.35  ,-99.99  ,-99.99    ,0.63
199007    ,7.13    ,1.16   ,-3.75  ,-99.99  ,-99.99    ,0.68
199008  ,-13.29    ,2.59   ,-1.65  ,-99.99  ,-99.99    ,0.66
199009  ,-11.63    ,7.75    ,1.11  ,-99.99  ,-99.99    ,0.60
199010    ,1.01    ,5.57  ,-10.21  ,-99.99  ,-99.99    ,0.68
199011   ,-4.30    ,1.71   ,-3.76  ,-99.99  ,-99.99    ,0.57
199012    ,0.14   ,-0.97    ,4.01  ,-99.99  ,-99.99    ,0.60
199101    ,2.02    ,0.47   ,-0.01  ,-99.99  ,-99.99    ,0.52
199102   ,12.31   ,-5.06    ,5.50  ,-99.99  ,-99.99    ,0.48
199103    ,2.36    ,4.55    ,5.55  ,-99.99  ,-99.99    ,0.44
199104    ,0.06    ,0.05   ,-3.26  ,-99.99  ,-99.99    ,0.53
199105    ,4.49    ,6.62    ,5.24  ,-99.99  ,-99.99    ,0.47
199106   ,-3.87   ,-1.55   ,-4.13  ,-99.99  ,-99.99    ,0.42
199107    ,0.99   ,-6.06    ,3.65   ,-1.46  ,-99.99    ,0.49
199108    ,0.09   ,-4.43    ,5.05    ,3.42  ,-99.99    ,0.46
199109   ,-3.50   ,-0.14   ,-1.32   ,-0.77  ,-99.99    ,0.46
199110    ,4.77   ,-4.22    ,0.95   ,-1.03  ,-99.99    ,0.42
199111   ,-0.49    ,2.99    ,2.44    ,5.59  ,-99.99    ,0.39
199112    ,8.52   ,-3.31    ,4.38    ,5.28  ,-99.99    ,0.38
199201    ,8.66   ,-5.72    ,2.71   ,-8.93  ,-99.99    ,0.34
199202    ,4.47   ,-4.35    ,3.64   ,-5.84  ,-99.99    ,0.28
199203   ,-2.65    ,3.73   ,-2.63    ,5.35  ,-99.99    ,0.34
199204   ,-0.96    ,3.84    ,1.61    ,0.62  ,-99.99    ,0.32
199205   ,-0.61   ,-0.97    ,2.21   ,-2.77  ,-99.99    ,0.28
199206   ,-7.71    ,7.18   ,-5.65    ,8.30  ,-99.99    ,0.32
199207   ,-0.49    ,1.74   ,-2.00    ,3.93   ,-2.72    ,0.31
199208   ,-3.64   ,-0.25   ,-2.30    ,3.57   ,-2.25    ,0.26
199209   ,-1.22   ,-3.29   ,-0.11    ,1.34    ,0.98    ,0.26
199210    ,4.40    ,0.00   ,-0.75   ,-2.67   ,-5.13    ,0.23
199211   ,-0.72    ,2.79   ,-0.61    ,0.16   ,-8.79    ,0.23
199212    ,1.97    ,1.12   ,-2.84    ,0.83   ,-1.78    ,0.28
199301   ,-0.86   ,-1.57    ,1.52   ,-1.22    ,1.18    ,0.23
199302    ,3.12    ,3.08    ,5.52   ,-2.34    ,1.46    ,0.22
199303    ,3.20    ,1.55   ,-1.50   ,-1.46   ,-7.00    ,0.25
199304    ,4.09    ,4.12    ,5.59   ,-6.11    ,5.99    ,0.24
199305    ,4.11    ,3.34    ,4.08   ,-4.74    ,5.22    ,0.22
199306    ,0.24   ,-2.59   ,-2.29    ,0.02   ,-3.14    ,0.25
199307    ,3.45    ,0.71   ,-1.97    ,1.52   ,-0.56    ,0.24
199308    ,8.26    ,1.24    ,5.97   ,-2.73    ,0.87    ,0.25
199309    ,4.61    ,3.38    ,3.01   ,-2.31    ,1.45    ,0.26
199310    ,9.42    ,4.26   ,-2.58    ,1.52   ,-4.60    ,0.22
199311    ,6.02    ,3.17    ,6.24   ,-5.19    ,1.66    ,0.25
199312   ,18.24    ,2.56    ,4.14   ,-3.89    ,1.52    ,0.23
199401   ,-1.35   ,-5.39    ,2.09   ,-2.20    ,2.26    ,0.25
199402   ,-1.21    ,7.29    ,0.38   ,-0.70   ,-0.91    ,0.21
199403  ,-11.62   ,-0.31   ,-1.42    ,1.95   ,-1.51    ,0.27
199404   ,-0.52   ,-1.02   ,-0.72    ,3.59    ,0.86    ,0.27
199405    ,1.56   ,-5.56    ,0.25   ,-0.58    ,2.78    ,0.32
199406   ,-3.30    ,1.62    ,0.79   ,-0.90    ,0.51    ,0.31
199407    ,6.24   ,-2.84    ,0.12   ,-0.76   ,-1.36    ,0.28
199408   ,11.81    ,3.63   ,-2.37   ,-3.80    ,0.89    ,0.37
199409    ,2.21    ,4.28    ,0.56   ,-1.11    ,3.41    ,0.37
199410   ,-3.22   ,-0.08    ,1.44    ,1.38    ,1.86    ,0.38
